zip_code,stab,complaint_volume,total_population,median_age,total_housing_units,avg_pct_broadband_25_3,avg_pct_broadband_100_20
76710,TX,7.0,23270,38.7,23270,0.7184,0.7184
76711,TX,3.0,9631,33.1,9631,3.2288,3.2288
76712,TX,10.0,28719,39.9,28719,7.4152000000000005,7.4152000000000005
76798,TX,0.0,2903,19.0,2903,0.0716,0.0716
76801,TX,12.0,25152,39.2,25152,6.9976,6.9976
76802,TX,3.0,5317,42.1,5317,4.0024,4.0024
76820,TX,0.0,128,72.7,128,0.0,0.0
76821,TX,2.0,4572,41.9,4572,3.0,3.0
76823,TX,3.0,2911,45.8,2911,3.0,3.0
76824,TX,1.0,0,,0,0.0,0.0
76825,TX,3.0,6595,42.8,6595,4.0,4.0
76827,TX,0.0,615,62.1,615,0.0,0.0
76828,TX,0.0,196,64.8,196,0.0,0.0
76831,TX,0.0,0,,0,0.0,0.0
76832,TX,0.0,517,43.1,517,0.0,0.0
76834,TX,1.0,4861,48.6,4861,4.0,4.0
76836,TX,0.0,3,,3,0.0,0.0
76837,TX,0.0,1946,41.1,1946,3.0,3.0
76841,TX,0.0,201,15.3,201,0.0,0.0
76842,TX,0.0,188,66.3,188,0.0,0.0
76844,TX,0.0,3202,49.6,3202,3.0,3.0
76845,TX,0.0,172,41.9,172,0.0,0.0
76848,TX,0.0,53,,53,0.0,0.0
76849,TX,0.0,3488,47.2,3488,3.0,3.0
76852,TX,0.0,276,65.6,276,0.0,0.0
76853,TX,25.0,1653,50.1,1653,3.0,3.0
76854,TX,0.0,483,63.4,483,0.0,0.0
76856,TX,0.0,3525,44.1,3525,3.0,3.0
76857,TX,0.0,2118,44.4,2118,6.0,6.0
76858,TX,0.0,251,43.1,251,3.0,3.0
76859,TX,0.0,1666,59.6,1666,3.0,3.0
76861,TX,0.0,2145,36.8,2145,3.0,3.0
76862,TX,0.0,240,56.1,240,0.0,0.0
76864,TX,1.0,802,55.1,802,3.0,3.0
76865,TX,0.0,237,48.7,237,0.0,0.0
76866,TX,0.0,918,50.9,918,3.0,3.0
76869,TX,0.0,11,,11,0.0,0.0
76870,TX,0.0,66,59.0,66,0.0,0.0
76871,TX,0.0,560,50.2,560,3.0,3.0
76872,TX,1.0,662,56.9,662,3.0,3.0
76873,TX,0.0,89,42.7,89,0.0,0.0
76874,TX,0.0,0,,0,0.0,0.0
76875,TX,0.0,498,53.9,498,3.0,3.0
76877,TX,4.0,4527,38.4,4527,3.0,3.0
76878,TX,0.0,1797,40.1,1797,3.0,3.0
76880,TX,0.0,0,,0,0.0,0.0
76882,TX,0.0,266,37.4,266,0.0639,0.0639
76884,TX,1.0,94,63.3,94,2.9361,2.9361
76885,TX,0.0,92,37.5,92,0.0,0.0
76887,TX,0.0,76,64.8,76,0.0,0.0
76888,TX,0.0,119,60.6,119,0.0,0.0
76890,TX,0.0,812,53.1,812,3.0,3.0
76901,TX,15.0,31581,35.1,31581,4.0055,4.0055
76902,TX,2.0,0,,0,0.0,0.0
76903,TX,15.0,31181,37.9,31181,1.2624,1.2624
76904,TX,31.0,36444,37.4,36444,1.3384,1.3384
76905,TX,4.0,13761,33.9,13761,0.3784,0.3784
76908,TX,0.0,1566,21.0,1566,0.0608,0.0608
76909,TX,0.0,420,19.8,420,0.008,0.008
76930,TX,0.0,107,40.4,107,0.0,0.0
76932,TX,2.0,3239,29.2,3239,3.0,3.0
76933,TX,1.0,1467,39.7,1467,3.0,3.0
76934,TX,0.0,1172,38.3,1172,2.9469,2.9469
76935,TX,1.0,1638,48.6,1638,3.0,3.0
