"state","place","zcta","stab","PlaceName","ZIPName","pop20","afact"
"State code","Place code","ZIP census tabulation area","State abbr.","Place name","ZIP Code name","Total population (2020 Census)","place-to-zcta allocation factor"
"48","04156","75750","TX","Arp city, TX","Arp, TX",892,1 
"48","04174","78586","TX","Arroyo Colorado Estates CDP, TX","San Benito, TX",833,1 
"48","04176","78583","TX","Arroyo Gardens CDP, TX","Rio Hondo, TX",240,0.5714 
"48","04176","78586","TX","Arroyo Gardens CDP, TX","San Benito, TX",180,0.4286 
"48","04300","78827","TX","Asherton city, TX","Asherton, TX",722,1 
"48","04408","79502","TX","Aspermont town, TX","Aspermont, TX",789,1 
"48","04462","77044","TX","Atascocita CDP, TX","Houston, TX",1747,0.0198 
"48","04462","77338","TX","Atascocita CDP, TX","Humble, TX",496,0.0056 
"48","04462","77346","TX","Atascocita CDP, TX","Humble, TX",69383,0.7869 
"48","04462","77396","TX","Atascocita CDP, TX","Humble, TX",16548,0.1877 
"48","04504","75751","TX","Athens city, TX","Athens, TX",12493,0.9717 
"48","04504","75752","TX","Athens city, TX","Athens, TX",364,0.0283 
"48","04516","75551","TX","Atlanta city, TX","Atlanta, TX",5433,1 
"48","04600","76227","TX","Aubrey city, TX","Aubrey, TX",4991,0.997 
"48","04600","76258","TX","Aubrey city, TX","Pilot Point, TX",15,0.003 
"48","04672","76078","TX","Aurora city, TX","Rhome, TX",1390,1 
"48","05000","78610","TX","Austin city, TX","Buda, TX",156,0.0002 
"48","05000","78613","TX","Austin city, TX","Cedar Park, TX",2770,0.0029 
"48","05000","78617","TX","Austin city, TX","Del Valle, TX",14310,0.0149 
"48","05000","78641","TX","Austin city, TX","Leander, TX",13,0 
"48","05000","78652","TX","Austin city, TX","Manchaca, TX",486,0.0005 
"48","05000","78653","TX","Austin city, TX","Manor, TX",825,0.0009 
"48","05000","78660","TX","Austin city, TX","Pflugerville, TX",7852,0.0082 
"48","05000","78701","TX","Austin city, TX","Austin, TX",11625,0.0121 
"48","05000","78702","TX","Austin city, TX","Austin, TX",25910,0.0269 
"48","05000","78703","TX","Austin city, TX","Austin, TX",22194,0.0231 
"48","05000","78704","TX","Austin city, TX","Austin, TX",49197,0.0511 
"48","05000","78705","TX","Austin city, TX","Austin, TX",36535,0.038 
"48","05000","78712","TX","Austin city, TX","Austin, TX",351,0.0004 
"48","05000","78717","TX","Austin city, TX","Austin, TX",27979,0.0291 
"48","05000","78719","TX","Austin city, TX","Austin, TX",3,0 
"48","05000","78721","TX","Austin city, TX","Austin, TX",11316,0.0118 
"48","05000","78722","TX","Austin city, TX","Austin, TX",6618,0.0069 
"48","05000","78723","TX","Austin city, TX","Austin, TX",34522,0.0359 
"48","05000","78724","TX","Austin city, TX","Austin, TX",17703,0.0184 
"48","05000","78725","TX","Austin city, TX","Austin, TX",1103,0.0011 
"48","05000","78726","TX","Austin city, TX","Austin, TX",14826,0.0154 
"48","05000","78727","TX","Austin city, TX","Austin, TX",29781,0.031 
"48","05000","78728","TX","Austin city, TX","Austin, TX",679,0.0007 
"48","05000","78729","TX","Austin city, TX","Austin, TX",16800,0.0175 
"48","05000","78730","TX","Austin city, TX","Austin, TX",9175,0.0095 
"48","05000","78731","TX","Austin city, TX","Austin, TX",27240,0.0283 
"48","05000","78732","TX","Austin city, TX","Austin, TX",2070,0.0022 
"48","05000","78733","TX","Austin city, TX","Austin, TX",620,0.0006 
"48","05000","78734","TX","Austin city, TX","Austin, TX",188,0.0002 
"48","05000","78735","TX","Austin city, TX","Austin, TX",16733,0.0174 
"48","05000","78736","TX","Austin city, TX","Austin, TX",6920,0.0072 
"48","05000","78737","TX","Austin city, TX","Austin, TX",24,0 
"48","05000","78739","TX","Austin city, TX","Austin, TX",18931,0.0197 
"48","05000","78741","TX","Austin city, TX","Austin, TX",49344,0.0513 
"48","05000","78742","TX","Austin city, TX","Austin, TX",861,0.0009 
"48","05000","78744","TX","Austin city, TX","Austin, TX",48698,0.0506 
"48","05000","78745","TX","Austin city, TX","Austin, TX",58885,0.0612 
"48","05000","78746","TX","Austin city, TX","Austin, TX",17640,0.0183 
"48","05000","78747","TX","Austin city, TX","Austin, TX",17576,0.0183 
"48","05000","78748","TX","Austin city, TX","Austin, TX",51599,0.0536 
"48","05000","78749","TX","Austin city, TX","Austin, TX",35214,0.0366 
"48","05000","78750","TX","Austin city, TX","Austin, TX",28311,0.0294 
"48","05000","78751","TX","Austin city, TX","Austin, TX",17071,0.0177 
"48","05000","78752","TX","Austin city, TX","Austin, TX",19289,0.0201 
"48","05000","78753","TX","Austin city, TX","Austin, TX",56305,0.0585 
"48","05000","78754","TX","Austin city, TX","Austin, TX",21301,0.0221 
"48","05000","78756","TX","Austin city, TX","Austin, TX",8426,0.0088 
"48","05000","78757","TX","Austin city, TX","Austin, TX",23847,0.0248 
"48","05000","78758","TX","Austin city, TX","Austin, TX",49831,0.0518 
"48","05000","78759","TX","Austin city, TX","Austin, TX",42202,0.0439 
"48","05036","77950","TX","Austwell city, TX","Austwell, TX (PO boxes)",118,1 
"48","05072","75554","TX","Avery town, TX","Avery, TX",421,1 
"48","05084","75630","TX","Avinger town, TX","Avinger, TX",371,1 
"48","05168","76020","TX","Azle city, TX","Azle, TX",13369,1 
"48","05180","77518","TX","Bacliff CDP, TX","Bacliff, TX",9670,0.9993 
"48","05180","77539","TX","Bacliff CDP, TX","Dickinson, TX",7,0.0007 
"48","05264","75413","TX","Bailey city, TX","Bailey, TX (PO boxes)",179,0.8136 
"48","05264","75452","TX","Bailey city, TX","Leonard, TX",4,0.0182 
"48","05264","75496","TX","Bailey city, TX","Wolfe City, TX",37,0.1682 
"48","05288","77515","TX","Baileys Prairie village, TX","Angleton, TX",775,1 
"48","05336","79504","TX","Baird city, TX","Baird, TX",1479,1 
"48","05372","75180","TX","Balch Springs city, TX","Balch Springs, TX",26860,0.9702 
"48","05372","75181","TX","Balch Springs city, TX","Mesquite, TX",786,0.0284 
"48","05372","75217","TX","Balch Springs city, TX","Dallas, TX",9,0.0003 
"48","05372","75253","TX","Balch Springs city, TX","Dallas, TX",30,0.0011 
"48","05384","78201","TX","Balcones Heights city, TX","San Antonio, TX",2483,0.9042 
"48","05384","78213","TX","Balcones Heights city, TX","San Antonio, TX",263,0.0958 
"48","05456","76821","TX","Ballinger city, TX","Ballinger, TX",3619,1 
"48","05468","79718","TX","Balmorhea city, TX","Balmorhea, TX",408,1 
"48","05520","78582","TX","B and E CDP, TX","Rio Grande City, TX",489,1 
"48","05528","78003","TX","Bandera city, TX","Bandera, TX",829,1 
"48","05552","76823","TX","Bangs city, TX","Bangs, TX",1540,1 
"48","05576","78339","TX","Banquete CDP, TX","Banquete, TX (PO boxes)",625,0.8389 
